deal_source,merchant_name,division_id,large_image_url,deal_url,deal_header,redemption_location,snapgadget_category_id
SnapAdd,SO-CAL,las-vegas,/assets/snapAdd/so_cal_200x150.gif,http://www.so-callasvegas.com,"
10% Off Any Purchase of $50 or More at So-Cal Speed Shop Las Vegas. Come on by and mention SnapGadget or enter code SNAP10 during online checkout to receive your discount today!

",las-vegas,1
SnapAdd,The Custom Shop,las-vegas,/assets/snapAdd/customshop_200x150.gif,http://www.thecustomshopvegas.com ,"5% Off Any Purchase of $100 or More at The Custom shop Las Vegas. Come on by and mention SnapGadget or enter code SNAP5 during online checkout to receive your discount today!

",las-vegas,1
