goal_type,keywords,expert_advice_description,expert_advice_url,state
Fitness,Arm wrestling,How to win at arm wrestling,http://www.wikihow.com/Win-at-Arm-Wrestling,active
Fitness,Karate,Karate training tips,http://ezinearticles.com/?Karate-Training-Tips&id=3336875,active
Fitness,Quaterback,Top 10 quarterback tips,http://gchgatorqb08.tripod.com/id1.html,active
Fitness,Quaterback,Quarterback basic training,http://footballscrimmage.com/articles/quarterback-basic-training.shtml,active
Fitness,Weight Training,Tips and techniques for better weight training,http://www.building-muscle101.com/weight-lifting-tips.html,active
Fitness,Weight Training,10 weight training success tips,http://weighttraining.about.com/od/succeedingwithweights/qt/success_tips.htm,active
Fitness,Weight Training,Top 10 tips for beginning weight training,http://powertochange.com/life/weightlifting/,active
Fitness,Cardio Training,3 little known tips for cardio,http://ezinearticles.com/?3-Little-Known-Tips-for-Cardio&id=338516,active
Fitness,Cardio Training,6 tips for more intense cardio workout,http://www.shape.com/fitness/cardio/6-tips-more-intense-cardio-workout,active
Fitness,Cardio Training,10 tips to improve your cardio workout,http://www.fitday.com/fitness-articles/fitness/10-tips-to-improve-your-cardio-workout.html,active
Fitness,Archery,Archery Tips for beginners,http://www.archery-tips.com/archerytips/archery-tips-for-beginners,active
Fitness,Archery,Archery Tips and techniques,http://www.buzzle.com/articles/archery-tips.html,active
Fitness,Rugby,75 rugby tips and techniques,http://www.betterrugbycoaching.com/Keyword-75-Rugby-Drills-and-Player-Skills,active
Fitness,Rugby,How to become a better rugby player,http://www.wikihow.com/Become-a-Better-Rugby-Player,active
career,workplace,7 ways to climb the ladder at work,http://www.theladders.com/career-advice/7-ways-to-move-up-by-moving-over,active
career,workplace,Career Advice - Can Introverts get ahead in the workplace,http://www.theladders.com/career-advice/can-introverts-get-ahead-in-the-workplace,active
career,corporate,Career Advice from corporate masters,http://www.bizjournals.com/dayton/news/2013/03/11/some-career-advice-from-the-corporate.html,active
career,Resume,20 power action 'verbs' to increase your resume's effectiveness,http://www.careerealism.com/20-powerful-action-verbs-kick-resume-notch/,active
career,Resume,Resume tips for a career change,http://www.careerealism.com/resume-tips-career-change/,active
career,networking,10 tips for succesful business networking,http://www.businessknowhow.com/tips/networking.htm,active
career,networking,24 networking tips that actually work,http://passivepanda.com/networking-tips,active
career,networking,Networking - how to find a job,http://www.helpguide.org/life/job_networking_how_to_find_job.htm,active
career,advancement,"How to get a raise by stressing value, not need",http://www.careerknowhow.com/advancement/raise.htm,active
career,advancement,Tips to help you ask for that raise,http://careerplanning.about.com/od/negotiatingoffers/a/raise.htm,active
career,advancement,How to get a pay raise in a bad economy,http://www.glassdoor.com/blog/pay-raise-bad-economy/,active
career,co-workers,Tips for work harmony,http://www.lifescript.com/life/money/work/10_tips_for_getting_along_with_coworkers.aspx,active
career,co-workers,How to get along with co-workers,http://www.ehow.com/how_3391625_get-along-coworkers.html,active
career,co-workers,How to get along with difficult co-workers,http://blog.penelopetrunk.com/2006/06/26/how-to-get-along-with-difficult-co-workers/,active
career,co-workers,Video describing tips for getting along with co-workers,http://video.about.com/careerplanning/Tips-for-Getting-Along-With-Co-Workers.htm,active
Charity,"Raise Money,Fundraise",How to raise money for charity fast,http://www.ehow.com/how_2187537_raise-money-charity-fast.html,active
Charity,"Raise Money,Fundraise",How to raise money for charity,http://www.tailored.com.au/how-to-raise-more-money-for-charity/,active
Charity,"Raise Money,Fundraise",Ideas for how to raise money for charity,http://ezinearticles.com/?Ideas-on-How-to-Raise-Money-For-Charity&id=3350311,active
Charity,"Raise Money,Fundraise",How to fundraise for charity,http://www.wikihow.com/Fundraise-for-Charity,active
Charity,"Start,Begin Charity",Steps for starting a charity,http://www.buzzle.com/articles/how-to-start-a-charity.html,active
Charity,"Start,Begin Charity",How to start a charity,http://www.ehow.com/how_2056695_start-charity.html,active
